begin_age	end_age	events
0	0.2	['TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Republic', "Ba'ath Rule", 'Republic of Iraq', 'Gamal Nasser', 'TOP', 'TOP', 'TOP', 'TOP', 'Mao Zedong wins civil war', 'Independent States', 'Israel independence', 'Israel independence', 'Pakistan independence', 'India independence', 'TOP', 'Hashemite Kingdom of Iraq', 'Pahlavi Dynasty', 'British Mandate', 'Republic', 'Republic of Turkey founded', 'Republic', 'TOP', 'Separate States', '-', 'Republic', 'Republic', 'Republic', 'Xinhai Revolution', 'TOP', 'Suez Canal opens', 'TOP', 'Unified nation', 'TOP', 'Reservations', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Opium War', 'Independent States', 'Independent', 'Marquesan', 'TOP']
0.01	0.21	['Republic', "Ba'ath Rule", 'Republic of Iraq', 'Gamal Nasser', 'TOP', 'TOP', 'TOP', 'TOP', 'Mao Zedong wins civil war', 'Independent States', 'Israel independence', 'Israel independence', 'Pakistan independence', 'India independence', 'TOP', 'Hashemite Kingdom of Iraq', 'Pahlavi Dynasty', 'British Mandate', 'Republic', 'Republic of Turkey founded', 'Republic', 'TOP', 'Separate States', '-', 'Republic', 'Republic', 'Republic', 'Xinhai Revolution', 'TOP', 'Suez Canal opens', 'TOP', 'Unified nation', 'TOP', 'Reservations', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Opium War', 'Independent States', 'Independent', 'Marquesan', 'TOP', 'TOP', 'TOP', 'Hawaiian, Maori, Tahitian, Tongan', 'Industrial Age', 'TOP', 'TOP', 'Napoleon conquest in 1798. ', 'TOP']
0.02	0.22	['Republic', "Ba'ath Rule", 'Republic of Iraq', 'Gamal Nasser', 'TOP', 'TOP', 'TOP', 'TOP', 'Mao Zedong wins civil war', 'Independent States', 'Israel independence', 'Israel independence', 'Pakistan independence', 'India independence', 'TOP', 'Hashemite Kingdom of Iraq', 'Pahlavi Dynasty', 'British Mandate', 'Republic', 'Republic of Turkey founded', 'Republic', 'TOP', 'Separate States', '-', 'Republic', 'Republic', 'Republic', 'Xinhai Revolution', 'TOP', 'Suez Canal opens', 'TOP', 'Unified nation', 'TOP', 'Reservations', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Opium War', 'Independent States', 'Independent', 'Marquesan', 'TOP', 'TOP', 'TOP', 'Hawaiian, Maori, Tahitian, Tongan', 'Industrial Age', 'TOP', 'TOP', 'Napoleon conquest in 1798. ', 'TOP']
0.03	0.23	["Ba'ath Rule", 'Republic of Iraq', 'Gamal Nasser', 'TOP', 'TOP', 'TOP', 'TOP', 'Mao Zedong wins civil war', 'Independent States', 'Israel independence', 'Israel independence', 'Pakistan independence', 'India independence', 'TOP', 'Hashemite Kingdom of Iraq', 'Pahlavi Dynasty', 'British Mandate', 'Republic', 'Republic of Turkey founded', 'Republic', 'TOP', 'Separate States', '-', 'Republic', 'Republic', 'Republic', 'Xinhai Revolution', 'TOP', 'Suez Canal opens', 'TOP', 'Unified nation', 'TOP', 'Reservations', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Opium War', 'Independent States', 'Independent', 'Marquesan', 'TOP', 'TOP', 'TOP', 'Hawaiian, Maori, Tahitian, Tongan', 'Industrial Age', 'TOP', 'TOP', 'Napoleon conquest in 1798. ', 'TOP', 'Qajar Dynasty']
0.04	0.24	['Republic of Iraq', 'Gamal Nasser', 'TOP', 'TOP', 'TOP', 'TOP', 'Mao Zedong wins civil war', 'Independent States', 'Israel independence', 'Israel independence', 'Pakistan independence', 'India independence', 'TOP', 'Hashemite Kingdom of Iraq', 'Pahlavi Dynasty', 'British Mandate', 'Republic', 'Republic of Turkey founded', 'Republic', 'TOP', 'Separate States', '-', 'Republic', 'Republic', 'Republic', 'Xinhai Revolution', 'TOP', 'Suez Canal opens', 'TOP', 'Unified nation', 'TOP', 'Reservations', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Opium War', 'Independent States', 'Independent', 'Marquesan', 'TOP', 'TOP', 'TOP', 'Hawaiian, Maori, Tahitian, Tongan', 'Industrial Age', 'TOP', 'TOP', 'Napoleon conquest in 1798. ', 'TOP', 'Qajar Dynasty', 'TOP']
0.05	0.25	['TOP', 'TOP', 'TOP', 'Mao Zedong wins civil war', 'Independent States', 'Israel independence', 'Israel independence', 'Pakistan independence', 'India independence', 'TOP', 'Hashemite Kingdom of Iraq', 'Pahlavi Dynasty', 'British Mandate', 'Republic', 'Republic of Turkey founded', 'Republic', 'TOP', 'Separate States', '-', 'Republic', 'Republic', 'Republic', 'Xinhai Revolution', 'TOP', 'Suez Canal opens', 'TOP', 'Unified nation', 'TOP', 'Reservations', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Opium War', 'Independent States', 'Independent', 'Marquesan', 'TOP', 'TOP', 'TOP', 'Hawaiian, Maori, Tahitian, Tongan', 'Industrial Age', 'TOP', 'TOP', 'Napoleon conquest in 1798. ', 'TOP', 'Qajar Dynasty', 'TOP']
0.06	0.26	['TOP', 'Hashemite Kingdom of Iraq', 'Pahlavi Dynasty', 'British Mandate', 'Republic', 'Republic of Turkey founded', 'Republic', 'TOP', 'Separate States', '-', 'Republic', 'Republic', 'Republic', 'Xinhai Revolution', 'TOP', 'Suez Canal opens', 'TOP', 'Unified nation', 'TOP', 'Reservations', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Opium War', 'Independent States', 'Independent', 'Marquesan', 'TOP', 'TOP', 'TOP', 'Hawaiian, Maori, Tahitian, Tongan', 'Industrial Age', 'TOP', 'TOP', 'Napoleon conquest in 1798. ', 'TOP', 'Qajar Dynasty', 'TOP', 'TOP', 'al-Saud dynasty']
0.07	0.27	['Pahlavi Dynasty', 'British Mandate', 'Republic', 'Republic of Turkey founded', 'Republic', 'TOP', 'Separate States', '-', 'Republic', 'Republic', 'Republic', 'Xinhai Revolution', 'TOP', 'Suez Canal opens', 'TOP', 'Unified nation', 'TOP', 'Reservations', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Opium War', 'Independent States', 'Independent', 'Marquesan', 'TOP', 'TOP', 'TOP', 'Hawaiian, Maori, Tahitian, Tongan', 'Industrial Age', 'TOP', 'TOP', 'Napoleon conquest in 1798. ', 'TOP', 'Qajar Dynasty', 'TOP', 'TOP', 'al-Saud dynasty']
0.08	0.28	['TOP', 'Separate States', '-', 'Republic', 'Republic', 'Republic', 'Xinhai Revolution', 'TOP', 'Suez Canal opens', 'TOP', 'Unified nation', 'TOP', 'Reservations', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Opium War', 'Independent States', 'Independent', 'Marquesan', 'TOP', 'TOP', 'TOP', 'Hawaiian, Maori, Tahitian, Tongan', 'Industrial Age', 'TOP', 'TOP', 'Napoleon conquest in 1798. ', 'TOP', 'Qajar Dynasty', 'TOP', 'TOP', 'al-Saud dynasty', 'TOP']
0.09	0.29	['TOP', 'Suez Canal opens', 'TOP', 'Unified nation', 'TOP', 'Reservations', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Opium War', 'Independent States', 'Independent', 'Marquesan', 'TOP', 'TOP', 'TOP', 'Hawaiian, Maori, Tahitian, Tongan', 'Industrial Age', 'TOP', 'TOP', 'Napoleon conquest in 1798. ', 'TOP', 'Qajar Dynasty', 'TOP', 'TOP', 'al-Saud dynasty', 'TOP']
